Street,Event,Datetime
Columbus Ave,Crash,2010-02-10 15:32:00
Beacon St,Crash,2010-02-12 00:50:00
Columbus Ave,Crash,2010-02-17 16:51:00
Tremont St,Crash,2010-02-19 19:08:00
Washington St,Crash,2010-02-20 12:06:00
Waldeck St,Crash,2010-02-25 13:39:00
Waverly Pl,Crash,2010-03-02 19:20:00
Higgins St,Crash,2010-03-03 10:33:00
Concord Sq,Crash,2010-03-05 20:08:00
Gloucester St,Crash,2010-03-06 16:00:00
Huntington Ave,Crash,2010-03-08 17:30:00
Sutherland Rd,Crash,2010-03-09 12:12:00
Cambridge St,Crash,2010-03-09 17:15:00
Water St,Crash,2010-03-10 08:55:00
Carolina Ave,Crash,2010-03-10 14:07:00
Centre St,Crash,2010-03-10 17:56:00
Beacon St,Crash,2010-03-10 20:16:00
Newbury St,Crash,2010-03-11 09:00:00
Harrison Ave,Crash,2010-03-11 09:15:00
Dartmouth St,Crash,2010-03-13 21:03:00
Tremont St,Crash,2010-03-16 16:51:00
Gardena St,Crash,2010-03-16 19:04:00
Newbury St,Crash,2010-03-17 19:53:00
Blue Hill Ave,Crash,2010-03-18 16:05:00
Faneuil St,Crash,2010-03-19 18:47:00
St Botolph St,Crash,2010-03-22 21:14:00
Oscar St,Crash,2010-03-23 09:30:00
Columbia Rd,Crash,2010-03-25 08:00:00
Normandy St,Crash,2010-03-27 19:34:00
Huntington Ave,Crash,2010-03-28 16:16:00
Adams St,Crash,2010-03-30 08:40:00
Harvard Ave,Crash,2010-03-30 14:25:00
Cambridge St,Crash,2010-04-01 14:56:00
Beacon St,Crash,2010-04-01 17:12:00
Cambridge St,Crash,2010-04-02 08:36:00
Brookline Ave,Crash,2010-04-02 17:01:00
Centre St,Crash,2010-04-03 13:27:00
Middleton St,Crash,2010-04-03 18:59:00
Park St,Crash,2010-04-05 16:16:00
Centre St,Crash,2010-04-05 18:03:00
Cambridge St,Crash,2010-04-06 17:51:00
Whittier St,Crash,2010-04-08 10:50:00
Beacon St,Crash,2010-04-08 12:26:00
S Huntington Ave,Crash,2010-04-08 16:27:00
Dartmouth St,Crash,2010-04-08 22:10:00
Talbot Ave,Crash,2010-04-09 00:38:00
Massachusetts Ave,Crash,2010-04-10 13:31:00
Elm Hill Park,Crash,2010-04-12 09:58:00
Massachusetts Ave,Crash,2010-04-13 10:41:00
Harvard Ave,Crash,2010-03-20 13:00:00
Beacon St,Crash,2010-04-13 14:14:00
Commonwealth Ave,Crash,2010-04-07 12:30:00
Court Sq,Crash,2010-04-15 08:00:00
Centre St,Crash,2010-04-15 09:09:00
Kneeland St,Crash,2010-04-15 10:30:00
Tremont St,Crash,2010-04-13 08:30:00
Washington St,Crash,2010-04-16 09:05:00
Roach St,Crash,2010-04-17 08:59:00
Boylston St,Crash,2010-04-17 16:47:00
Columbus Ave,Crash,2010-04-20 11:35:00
Chestnut Hill Ave,Crash,2010-04-22 11:25:00
Commonwealth Ave,Crash,2010-04-21 18:30:00
Centre St,Crash,2010-04-22 18:00:00
Albion Pl,Crash,2010-04-23 14:13:00
Rutherford Ave,Crash,2010-04-21 16:15:00
Huntington Ave,Crash,2010-04-25 22:53:00
Washington St,Crash,2010-04-25 11:14:00
Dartmouth St,Crash,2010-04-25 14:17:00
Commonwealth Ave,Crash,2010-04-25 18:00:00
Beacon St,Crash,2010-04-27 17:15:00
Commonwealth Ave,Crash,2010-04-28 13:00:00
Lagrange St,Crash,2010-04-29 23:15:00
Dorchester Ave,Crash,2010-04-29 09:29:00
Harrison Ave,Crash,2010-04-29 09:45:00
Kilby St,Crash,2010-04-29 12:30:00
Brookline Ave,Crash,2010-04-29 15:06:00
Belden St,Crash,2010-04-29 20:22:00
School St,Crash,2010-04-30 08:40:00
Massachusetts Ave,Crash,2010-04-26 18:00:00
Turner St,Crash,2010-04-30 18:54:00
Beacon St,Crash,2010-05-01 14:29:00
Baker Ct,Crash,2010-05-03 15:36:00
Commonwealth Ave,Crash,2010-05-03 18:10:00
Boylston St,Crash,2010-05-04 13:50:00
Stuart St,Crash,2010-05-05 09:08:00
Blackfan St,Crash,2010-05-05 18:47:00
Boylston St,Crash,2010-05-05 16:45:00
Centre St,Crash,2010-05-06 15:06:00
Massachusetts Ave,Crash,2010-05-06 16:57:00
Tremont St,Crash,2010-05-07 12:53:00
Centre St,Crash,2010-05-07 18:12:00
Washington St,Crash,2010-05-10 23:31:00
Lamartine St,Crash,2010-05-10 19:18:00
Gore St,Crash,2010-05-13 14:15:00
Hancock St,Crash,2010-05-13 15:19:00
Dudley St,Crash,2010-05-13 21:28:00
Commonwealth Ave,Crash,2010-05-16 01:54:00
Williams St,Crash,2010-05-16 12:14:00
Parker St,Crash,2010-05-17 14:18:00
Glenway St,Crash,2010-05-19 15:17:00
Kneeland St,Crash,2010-05-20 06:52:00
Commonwealth Ave,Crash,2010-05-20 12:24:00
Herald St,Crash,2010-05-20 20:57:00
W Roxbury Pky,Crash,2010-05-21 07:32:00
Burrage St,Crash,2010-05-22 16:16:00
Spencer St,Crash,2010-05-23 12:03:00
Newbury St,Crash,2010-05-23 15:54:00
Marcella St,Crash,2010-05-23 18:42:00
Dorchester Ave,Crash,2010-05-24 08:19:00
Commonwealth Ave,Crash,2010-05-24 10:40:00
Long Ave,Crash,2010-05-24 20:45:00
Park St,Crash,2010-05-25 07:43:00
Washington St,Crash,2010-05-25 19:14:00
Stanwood St,Crash,2010-05-26 23:04:00
Birch St,Crash,2010-05-26 14:00:00
Centre St,Crash,2010-05-26 16:36:00
Newbury St,Crash,2010-05-27 07:30:00
