routeid,created_utc,activitytype,latitude,longitude,distance_m,n_points
134bfb4d17cd4b8e042a1037c091bb21,2012-08-27 21:55:13.409000,Running,42.376771,-71.122336,25865.85722557245,65
27f5a411de04d4b2644ecfec5e427a9f,2012-08-27 22:30:47.558000,Running,42.3593,-71.06729,4854.432731557443,257
4279c1dddb3d0f8d7a2600aa5607b527,2012-08-27 23:56:09.090000,Running,42.32295,-71.102957,6548.476936979048,27
6c957896ca69886290396e3ae9feb357,2012-08-27 23:58:56.663000,Running,42.32295,-71.102989,7922.762256210282,44
0c29091a239c63879622e89929d72d4f,2012-08-28 00:05:32.712000,Running,42.355275,-71.052016,6625.020661143371,36
e4b8129bf9c99479eb21ae13f77486e9,2012-08-28 00:51:26.628000,Running,42.35185,-71.089994,4039.6024807341264,346
e5f07b5e727226dcf0009846894bb62d,2012-08-28 12:50:10.295000,Running,42.28319,-71.0558,5496.06312042329,265
c5fa85fabbcc86f436385c4615a22471,2012-08-28 13:13:49.944000,Running,42.322757,-71.163278,7799.743280685809,110
523e13879b48aa8e011af0894826d714,2012-08-28 20:10:02.094000,Running,42.29576,-71.05626,7558.155808782078,301
971e32c09ed1a28febb85cc2e3cf02fc,2012-08-29 00:48:49.784000,Cycling,42.350586,-71.097723,2624.44844265705,9
2026b354b2957ea9c9bb96d422a5374e,2012-08-29 01:39:02.899000,Walking,42.3674,-71.104641,25957.91303692802,172
80a36e8e8145797a7fb9425a10d271d4,2012-08-29 16:10:56.396000,Running,42.34903,-71.09159,6665.849955038751,509
aa6dbd70b0f8bed71a0189a2b0853d8c,2012-08-29 17:39:15.291000,Running,42.359465,-71.093952,5806.8349493394035,142
4d7a88e5e8c65c08c8eeb03a2e376578,2012-08-29 18:02:35.224000,Running,42.36309,-71.1832,6565.797540164782,301
2a932d21dc5b1bcf0f03e99cea5449aa,2012-08-30 00:55:58.301000,Running,42.41637,-71.14435,13280.671755604639,496
6593dcfdfa8c2f52e75143cbda44e19e,2012-08-30 14:18:40.324000,Running,42.349168,-71.076988,6563.068207465069,12
ed681f573cb622314c42bcc84a38826f,2012-08-31 06:30:50.227000,Running,42.334897,-71.075045,3256.4962400556137,11
66f6922dd76339cbf531417067da9a09,2012-08-31 06:32:49.282000,Running,42.337435,-71.075603,3381.466584002195,11
a7549d753050bffab3c03ec94b758ec5,2012-08-31 06:34:14.850000,Running,42.335024,-71.07526,3526.958216424648,11
85632a3986954f0b590ce622c9f37248,2012-08-31 06:35:53.023000,Running,42.334928,-71.075131,3607.7311696223787,14
5ddb4e44cc3caaaad1c9d4b150cb141e,2012-08-31 06:37:54.791000,Running,42.335024,-71.075088,4232.6272797228585,13
4d343c1f6a32b19bca059a582cc1693b,2012-08-31 06:40:25.154000,Running,42.33496,-71.075174,4094.364417701532,15
b2c2f22fc1bf877b259aedd5e999e15c,2012-08-31 06:42:58.276000,Running,42.33496,-71.075217,4723.143674338535,12
8663d8ee45ddc1863bee482a5f77c215,2012-08-31 12:51:36.441000,Running,42.34226,-71.1421,7009.469559326618,261
72b5e1f5366341dd2034a093b4eee839,2012-08-31 13:29:47.289000,Running,42.359947,-71.094596,7337.179133541589,7
1d5732aaeae98d1c943c2df82222e7ef,2012-08-31 15:48:22.218000,Running,42.344042,-71.061534,10944.53013246942,388
125ea28afd92a3f97cb31cea6f8690b0,2012-08-31 21:16:55.182000,Running,42.37498,-71.15247,12359.090490324405,491
fb9c2a3bf496f5f3b7e06ea96f88defe,2012-08-31 21:22:56.687000,Running,42.38141,-71.09996,9658.848931537472,503
58bacc2264fbb82f9a0bd9d1c3821582,2012-09-01 11:57:49.710000,Running,42.327333,-71.09008,8050.84001745144,151
1a65204e27eeed07d48c91a5a1454677,2012-09-01 18:10:21.849000,Running,42.37498,-71.15247,12195.199934770897,499
72453b7b8a677ed9c791cc6fe414fe62,2012-09-01 20:12:24.904000,Running,42.41476,-71.21591,11873.34565987116,317
865bf3c3bf34fb20b874d673fcdf652f,2012-09-01 22:37:06.592000,Running,42.368278,-71.098211,9886.726289824668,38
2e83b087971396c63de7e7b3274c5ed9,2012-09-02 22:42:16.625000,Cycling,42.36106,-71.10976,8932.291443707225,496
3ce9b7bd3d777c13372623c35a3ef545,2012-09-03 01:53:07.183000,Running,42.36377,-71.10789,3482.917772121129,129
